Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Stress,154,H,0.0782,19,F,1.361571446,1.64701238,0.42297542,1.017993198,0.463688358,1.64701238,1.124103719,0.509269223,,,-0.37368487,0.007744876,-0.333773808,0.216696864,0.050806385,-0.293052569
Stress,154,I,0.0819,19,M,0.493779673,1.283293709,0.273001175,0.82495915,0.414533541,1.283293709,0.774914202,0.462705805,,,-0.563835484,-0.083567556,-0.382440324,0.108326065,-0.11074638,-0.334695052
Control,155,A,0.295,23,F,1.25290123,0.692483403,1.56950802,0.818314841,1.046975303,0.692483403,0.11178319,1.517293768,,,0.195763539,-0.087079572,0.019936437,-0.159590631,-0.951623501,0.181069674
Control,155,B,0.3208,23,F,1.297084696,0.624100987,2.915302792,0.631736392,1.161691834,0.624100987,0.203830496,1.666129383,,,0.464683669,-0.199464104,0.065090937,-0.204745131,-0.690730839,0.221708723
Control,155,C,0.3286,23,F,1.003661435,0.764816065,2.26887805,0.390680527,1.345268435,0.764816065,0.234410401,1.205668901,,,0.355811154,-0.408178235,0.128808952,-0.116442998,-0.630023122,0.081228059
Control,155,D,0.3408,23,M,0.393728401,1.976824413,2.348889861,1.76833865,5.861327341,1.976824413,5.255307408,1.99976957,,,0.370862653,0.247565439,0.767995976,0.295968096,0.720598125,0.300979956
Control,155,E,0.342,23,F,1.324339203,0.632813112,2.176453304,0.286325471,2.35309692,0.632813112,0.362765331,1.23670417,,,0.337749354,-0.543140016,0.371639815,-0.198724531,-0.440374225,0.092265825
Control,155,F,0.3325,23,M,0.734723175,0.611257175,2.311205807,0.277211931,2.205685979,0.611257175,1.254496539,0.963596085,,,0.36383862,-0.557188082,0.343543682,-0.21377603,0.098469467,-0.016104973
Control,156,A,0.1661,23,NA,0.644062539,0.756031403,0.387870171,1.226086917,0.928448683,0.756031403,0.514808754,1.038739411,,,-0.411313618,0.088521258,-0.032242095,-0.121460165,-0.288354077,0.01650661
Control,156,B,0.1752,22,M,1.039055479,0.784503288,0.469320614,1.134765809,0.952347993,0.784503288,0.808755295,0.997577228,,,-0.32853037,0.054906242,-0.021204329,-0.105405232,-0.092182863,-0.001053473
Control,156,C,0.1625,22,M,0.815226405,1.09671201,0.392830559,1.221844978,0.739468575,1.09671201,1.079558799,0.766575841,,,-0.405794735,0.087016108,-0.131080277,0.040092599,0.033246301,-0.115444872
Control,156,D,0.1194,22,M,0.765923754,1.047186255,0.435369546,1.050246459,0.705260141,1.047186255,1.046405351,0.744752915,,,-0.361141953,0.021291226,-0.15165066,0.020023933,0.019699952,-0.127987788
Control,156,E,0.1478,22,F,0.855756759,0.952539879,0.319077563,2.071574811,0.737762012,0.952539879,1.512681746,1.394582971,,,-0.496103734,0.316300622,-0.132083711,-0.021116833,0.179747566,0.144444358
Control,156,F,0.1622,22,F,0.962776402,0.866447795,0.421025368,1.312570203,0.739468575,0.866447795,0.984258035,1.02089449,,,-0.375691736,0.118122541,-0.131080277,-0.062257599,-0.006891031,0.00898086
Control,156,G,0.1305,22,F,0.739833579,1.15924438,0.261577871,1.31408742,0.685182754,1.15924438,0.902568598,0.775483023,,,-0.582398999,0.118624258,-0.164193577,0.064174999,-0.04451978,-0.110427705
Control,156,H,0.1715,22,F,0.338041596,0.650603911,0.62285967,1.154601166,1.032561284,0.650603911,1.184087058,0.77101657,,,-0.205609789,0.062431992,0.013915837,-0.18668333,0.073383634,-0.112936288
Stress,157,A,0.2595,23,M,0.709695806,0.766585208,1.178522308,0.491090648,1.525794581,0.766585208,1.532027107,0.966941448,,,0.071337808,-0.308838336,0.183496068,-0.115439565,0.18526645,-0.014599823
Stress,157,B,0.223,23,F,0.929980704,0.705402242,0.967262295,1.256195716,1.17654846,0.705402242,1.363305123,1.453804998,,,-0.014455741,0.099057308,0.07060982,-0.151563164,0.134593067,0.162506158
Stress,157,C,0.2665,23,F,1.160923322,0.858477007,0.972865589,0.722328962,0.599941642,0.858477007,0.417189617,1.320880944,,,-0.011947158,-0.141264972,-0.221890993,-0.066271332,-0.379666509,0.120863675
Stress,157,D,0.2788,23,M,1.270391079,0.835001908,1.218674126,0.460326027,1.448501064,0.835001908,1.573279677,1.137999905,,,0.085887591,-0.336934469,0.160918819,-0.078312532,0.196805933,0.056142226
Stress,157,E,0.2424,23,F,0.60932029,0.764816065,1.403127134,0.442084662,1.147022807,0.764816065,1.089582288,0.977047385,,,0.147097023,-0.354494553,0.059572053,-0.116442998,0.037260035,-0.010084373
Stress,157,F,,23,M,1.25290123,0.812168737,1.046311483,0.586036023,1.105394044,0.812168737,0.878902574,1.362730652,,,0.019660992,-0.232075688,0.04351712,-0.090353732,-0.056059264,0.134410025
Stress,157,G,0.2599,23,F,0.719602791,0.702150111,1.395045716,0.513129398,1.106671783,0.702150111,0.560107308,0.984980524,,,0.14458844,-0.289773103,0.044018837,-0.153570031,-0.251728761,-0.006572357
