Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Stress,121,G,0.1294,,F,1.483237043,1.281834349,2.2395,2.371659597,0.741881538,1.532733344,0.666079922,1.124704126,,,0.350151067,0.375052355,-0.129665436,0.185466605,-0.176473657,0.051038288
Stress,121,H,0.1505,,F,0.583882177,0.903257877,1.9722,1.776737179,1.183118088,1.223578555,0.173591378,0.896812852,,,0.294950954,0.24962319,0.073028094,0.087631857,-0.760471849,-0.047298177
Control,122,A,0.217,,F,1.151687398,1.251111037,1.0866,0.915456743,0.876156652,1.11685358,0.896329157,1.197101536,,,0.036069701,-0.038362172,-0.057418237,0.047996241,-0.047532476,0.078130988
Control,122,B,0.2182,,M,0.975185905,0.899093568,1.3674,0.296800129,0.869099992,0.129507426,0.793022589,0.897849489,,,0.135895576,-0.527535915,-0.060930254,-0.887705328,-0.100714442,-0.04679646
Control,122,C,0.2156,,F,0.445577775,0.394986843,3.1235,0.367520583,1.300675202,0.384513652,0.891166681,0.884466164,,,0.49464151,-0.434718333,0.11416886,-0.415088236,-0.050041059,-0.053318777
Control,122,D,0.2113,,M,0.205719318,0.268540173,0.9993,0.61064125,1.61152594,0.483618072,1.051853561,0.965074479,,,-0.000304113,-0.214213862,0.207237301,-0.315497479,0.021955282,-0.015439169
Control,122,E,0.2155,,M,1.447686462,1.023286293,0.7227,1.082397408,0.763620326,1.810146832,0.453372,1.204036275,,,-0.141041945,0.034386744,-0.11712252,0.257713805,-0.343545305,0.080639571
Control,122,F,0.2304,,M,1.617481464,1.143304613,0.5242,0.380041873,0.861104805,0.240000069,3.074674881,0.785243604,,,-0.280502983,-0.42016855,-0.064943987,-0.619788633,0.4877992,-0.104995592
Control,122,G,0.2278,,F,2.209544795,1.769338196,0.7013,3.488395515,0.484396634,4.33021921,0.769557234,1.354611227,,,-0.154096161,0.542625719,-0.314798883,0.636509882,-0.113759075,0.131814671
Control,122,H,0.1965,,M,0.757201503,0.882627438,0.8934,1.299896678,0.959326675,1.338181119,1.168453671,0.806853615,,,-0.048954052,0.113908834,-0.018033479,0.126514898,0.067611497,-0.093205251
Control,122,I,0.2024,,M,0.916209343,0.907441473,0.7202,0.579372704,0.54183572,0.690688318,0.991098625,0.928438889,,,-0.142546883,-0.23704197,-0.266132368,-0.160717889,-0.003883126,-0.032246677
Control,123,A,0.1853,,M,0.511834457,1.074160693,1.5474,1.760392287,0.542462035,1.257978031,0.763359138,0.743744427,,,0.189602593,0.245609457,-0.265630651,0.099673057,-0.117271091,-0.128576275
Control,123,B,0.1821,,M,0.541018255,0.711964149,1.2168,0.577368227,1.521956802,0.839599606,0.972947501,1.145686393,,,0.085219201,-0.238547119,0.182402326,-0.075927774,-0.011910593,0.059065755
Control,123,C,0.1859,,F,0.634525118,0.694097306,1.1018,0.760962337,1.216380065,1.032474913,0.704058494,1.132527062,,,0.042102768,-0.118636838,0.085069294,0.013879508,-0.152391258,0.054048588
Control,123,D,0.2047,,M,1.163724197,1.410829032,0.8923,1.367679593,0.894049993,4.40336589,0.708546218,1.333648853,,,-0.049489107,0.135984367,-0.048638196,0.643784774,-0.149631816,0.125041496
Control,123,E,0.1994,,F,1.277877178,1.011532847,0.7119,1.121863349,0.764503005,1.127223344,0.442505472,0.935977351,,,-0.147581007,0.04993996,-0.116620803,0.052009974,-0.354081354,-0.02873466
Control,123,F,0.1992,,M,0.287921849,0.265455726,0.1408,5.077894034,1.133612374,1.928893372,0.984252607,0.989344946,,,-0.851397345,0.705683634,0.054464578,0.285308221,-0.006893426,-0.00465226
Control,123,G,0.1905,,M,0.66147071,0.999914401,0.9438,1.191322176,0.963213429,0.846416737,0.7866355,0.995076162,,,-0.025120027,0.076029226,-0.016277471,-0.072415758,-0.104226458,-0.002143678
Control,123,H,0.1868,,M,1.870921697,1.153919969,1.1236,0.783260235,0.851214173,0.322589949,0.959552645,0.906185843,,,0.050611731,-0.106093921,-0.069961154,-0.491349168,-0.017931193,-0.042782727
Stress,126,A,0.1395,,M,0.866786855,0.75954631,1.1606,0.692985445,0.660178203,1.063957159,0.45128181,0.869271565,,,0.064682566,-0.159275887,-0.180338819,0.026924141,-0.345552171,-0.060844526
