Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Stress,154,F,0.0733,19,F,1.757773497,1.558195769,0.7746,1.573776083,1.210772162,4.241104587,0.595469918,0.75674485,,,-0.110922507,0.196942941,0.083062427,0.627478982,-0.225140173,-0.121050526
Stress,154,G,0.075,19,M,0.643382758,1.63944765,1.3012,0.701847886,0.645845391,3.496973171,1.295731863,0.480035229,,,0.114344055,-0.153757004,-0.189871435,0.5436923,0.112515139,-0.318726889
Stress,154,H,0.0782,19,F,1.897038791,1.794037237,0.6666,2.120243982,0.367104001,7.90504346,0.385668672,0.745464828,,,-0.176134691,0.326385839,-0.435210882,0.897904262,-0.413785638,-0.127572842
Stress,154,I,0.0819,19,M,1.709707088,1.46734675,0.9525,0.606773628,0.706744543,0.92837102,0.622192913,0.93381728,,,-0.021135016,-0.216973303,-0.150737536,-0.032278425,-0.20607494,-0.029738094
Control,155,A,0.295,23,F,1.0379588,1.074160693,0.6416,0.460912124,1.207977914,0.226268354,1.240080577,1.071435887,,,-0.192735645,-0.336381868,0.082058994,-0.645376182,0.093449905,0.029966189
Control,155,B,0.3208,23,F,1.350739231,1.474143022,0.7194,0.310119673,0.879198448,0.383626263,1.400006831,1.139087725,,,-0.143029567,-0.508470683,-0.055913087,-0.416091669,0.146130155,0.056557172
Control,155,C,0.3286,23,F,0.746776886,0.754299741,0.4765,0.314994153,1.398061098,0.344348205,1.075196639,1.130566242,,,-0.321937095,-0.501697508,0.145526151,-0.463002177,0.031487898,0.053296014
Control,155,D,0.3408,23,M,0.975185905,0.909540532,0.7194,0.140719772,1.386000147,0.120834701,1.098423097,0.955644225,,,-0.143029567,-0.851644877,0.141763276,-0.917808328,0.040769656,-0.01970376
Control,155,E,0.342,23,F,1.963937719,1.347118256,0.7936,0.180812162,1.089949085,0.144529917,1.064690322,1.124704126,,,-0.100398341,-0.742772361,0.037406211,-0.840042247,0.027223306,0.051038288
Control,155,F,0.3325,23,M,1.074562338,0.915866887,0.6292,0.177295803,1.138862897,0.288059763,0.531116602,0.966748276,,,-0.201211286,-0.751301545,0.056471444,-0.540517401,-0.274810123,-0.014686594
Control,156,A,0.1661,23,NA,0.928999149,1.378605652,1.0942,0.444184295,1.088690654,0.208450017,1.82399343,0.611127592,,,0.03909671,-0.352436801,0.036904495,-0.680998065,0.26102327,-0.213868108
Control,156,B,0.1752,22,M,0.5189794,1.138033612,1.6719,0.351329581,1.257821683,0.071517497,2.292784137,0.522877728,,,0.223210298,-0.454285282,0.099619077,-1.145587694,0.360363168,-0.281599857
Control,156,C,0.1625,22,M,0.340033591,1.030403812,2.4591,0.410151921,1.402104693,0.171479346,2.987144855,0.582856319,,,0.39077619,-0.38705525,0.146780443,-0.765788182,0.475256283,-0.234438491
Control,156,D,0.1194,22,M,1.070844635,1.135407231,2.0643,0.910709995,0.695004429,1.934472287,0.781653182,0.921493264,,,0.314772813,-0.040619897,-0.158012428,0.286562512,-0.1069859,-0.035507835
Control,156,E,0.1478,22,F,0.860799521,0.901173317,1.2922,1.374808131,0.960990502,2.064949826,0.267405405,0.943577022,,,0.111329737,0.138242092,-0.017280905,0.314909504,-0.572829819,-0.025222644
Control,156,F,0.1622,22,F,0.878886748,0.94161541,0.958,1.570144086,0.922909279,1.471995636,0.636735983,0.84745707,,,-0.018634491,0.195939508,-0.034840988,0.167906522,-0.196040607,-0.071882293
Control,156,G,0.1305,22,F,1.73357371,1.265648247,1.3801,0.879179888,0.705928551,0.455158226,0.610797982,0.938142418,,,0.139910556,-0.055922255,-0.151239253,-0.341837604,-0.214102406,-0.027731227
Control,156,H,0.1715,22,F,1.819761245,1.372249838,0.8745,0.738445637,0.800659504,0.262630564,0.680075677,1.039732348,,,-0.058240186,-0.131681471,-0.096552137,-0.580654734,-0.167442757,0.016921556
Stress,157,A,0.2595,23,M,1.116318867,0.972571689,0.6532,0.581048417,1.186540006,0.54347041,0.475637334,1.120165726,,,-0.184953824,-0.235787678,0.074282386,-0.264824097,-0.322724064,0.04928228
Stress,157,B,0.223,23,F,1.009575762,1.047204476,1.5599,0.562879088,0.681882033,2.26227356,0.736504987,1.408876863,,,0.193096758,-0.249584886,-0.166290753,0.35454512,-0.132824308,0.148873037
Stress,157,C,0.2665,23,F,0.916209343,0.93727426,1.008,0.686610404,1.181752086,0.362094975,0.58999196,1.123405567,,,0.003460532,-0.16328962,0.072526378,-0.441177502,-0.229153907,0.050536572
Stress,157,D,0.2788,23,M,0.458104671,0.743915073,1.2154,0.228599944,1.744234578,0.276644803,1.680356332,0.964517191,,,0.084719232,-0.64092388,0.241604892,-0.558077484,0.225401387,-0.015690027
Stress,157,E,0.2424,23,F,1.478105432,1.030403812,0.484,0.449345468,0.945572999,0.487263274,0.695971693,1.259524214,,,-0.315154638,-0.347419634,-0.024304938,-0.312236321,-0.157408424,0.100206521
Stress,157,F,,23,M,1.016597917,0.999914401,0.9405,0.323289141,1.187225576,0.364613545,0.962883971,0.8612748,,,-0.0266412,-0.490408883,0.074533244,-0.438167202,-0.016426043,-0.06485826
Stress,157,G,0.2599,23,F,1.427755735,0.694097306,0.6909,1.174920892,0.956560028,3.04077709,0.907792118,1.594251079,,,-0.160584807,0.070008626,-0.019287771,0.482984585,-0.042013592,0.20255672
