DamID,PlacentaID,PhotoID,LZ_void_area_px,LZ_tissue_area_px,LZ_total_area_px,LZ_total_area_mm2,JZ_void_area_px,JZ_tissue_area_px,JZ_total_area_px,JZ_total_area_mm2,fetal_placenta_total_area_mm2,pct_void_LZ,pct_tissue_LZ,pct_void_JZ,pct_tissue_LZ,LZ_perimeter_px,LZ_perimeter_mm,JZ_perimeter_px,JZ_perimenter_mm,LZ_JZ_junction_px,LZ_JZ_junction_mm,,,,,,,,,
112,A,1,299954.75,1588744.125,1888698.875,1.482621062,327389.875,1059701.875,1387091.75,1.088861475,2.571482537,15.88155497,84.11844503,23.60261136,76.39738864,17000.125,30.1242215,32888.75,58.278865,5430,9.62196,,,,,,,,,
112,A,2,260135.125,1624561.375,1884696.5,1.479479214,370521.625,1358491.5,1729013.125,1.357268387,2.836747601,13.80249419,86.19750581,21.42965948,78.57034052,16467.625,29.1806315,31727.5,56.22113,5447,9.652084,,,,,,,,,
112,A,3,294083.25,1685283.625,1979366.875,1.553795079,358694.75,1180147.375,1538842.125,1.207984913,2.761779992,14.85744021,85.14255979,23.30939244,76.69060756,16939.625,30.0170155,30172.5,53.46567,5832,10.334304,,,,,,,,,
112,A,4,201454.125,1970195.125,2171649.25,1.704735975,256522.125,1331782.5,1588304.625,1.246812777,2.951548752,9.276549839,90.72345016,16.15068803,83.84931197,20224,35.836928,33938.25,60.138579,6559.75,11.623877,,,,,,,,,
112,B,1,248809.625,1935524.625,2184334.25,1.714693649,165243.5,840189.625,1005433.125,0.789260981,2.50395463,11.39063882,88.60936118,16.43505628,83.56494372,19088.25,33.824379,27553,48.823916,7110.75,12.600249,,,,,,,,,
112,B,2,228990,1945700,2174690,1.707122951,249880,1035600,1285480,1.009096658,2.716219609,10.53,89.47,19.438,80.562,18404,32.611888,34504.75,61.142417,7842.9,13.8976188,,,,,,,,,
112,B,3,358871.5,1940516,2299387.5,1.80500999,190127.625,721266.75,911394.375,0.715440939,2.520450929,15.60726498,84.39273502,20.86118043,79.13881957,20041.25,35.513095,29431.5,52.152618,6292.25,11.149867,,,,,,,,,
112,B,4,394250,1918100,2312350,1.815185501,247240,804160,1051400,0.825344794,2.640530295,17.05,82.95,23.515,76.485,19068,33.788496,23688.25,41.975579,6216,11.014752,,,,,,,,,
112,C,1,307560.75,1875615.875,2183176.625,1.713784918,356570,1008500,1365070,1.07157449,2.785359408,14.08776305,85.91223695,26.121,73.879,20344.625,36.0506755,28456,50.424032,6987,12.380964,,,,,,,,,
112,C,2,222363.25,1774963,1997326.25,1.567893117,275870,1230300,1506170,1.182337425,2.750230542,11.13304599,88.86695401,18.316,81.684,15490.125,27.4485015,26660,47.24152,5962.25,10.565107,,,,,,,,,
